Source,Target,Edge_Type
which_wiki_edit,attention_shifting,0
which_wiki_edit,comprehension,0
which_wiki_edit,linguistic_analysis,0
which_wiki_edit,problem_solving,0
which_wiki_edit,reading,0
which_wiki_edit,recognition_of_social_cues,0
which_wiki_edit,selective_attention,0
which_wiki_edit,working_memory,0
abstract_narrative_understanding,episodic_memory,0
abstract_narrative_understanding,narrative_skills,0
abstract_narrative_understanding,reasoning,0
abstract_narrative_understanding,recognition_of_social_cues,0
abstract_narrative_understanding,theory_of_mind,0
anachronisms,attention_shifting,0
anachronisms,episodic_memory,0
anachronisms,linguistic_analysis,0
anachronisms,reasoning,0
anachronisms,semantic_memory,0
analogical_similarity,abstract_thinking,0
analogical_similarity,cognitive_flexibility,0
analogical_similarity,problem_solving,0
analogical_similarity,reasoning,0
analytic_entailment,reasoning,0
analytic_entailment,repetition,0
analytic_entailment,semantic_memory,0
analytic_entailment,writing,0
arithmetic,attention_shifting,0
arithmetic,cognitive_flexibility,0
arithmetic,reasoning,0
arithmetic,selective_attention,0
arithmetic,sustained_attention,0
arithmetic,working_memory,0
authorship_verification,attention_shifting,0
authorship_verification,episodic_memory,0
authorship_verification,expressive_language,0
authorship_verification,impulse_control,0
authorship_verification,linguistic_analysis,0
authorship_verification,recognition_of_social_cues,0
authorship_verification,repetition,0
authorship_verification,semantic_memory,0
authorship_verification,theory_of_mind,0
bbq_lite_json,attention_shifting,0
bbq_lite_json,auditory_processing_speed,0
bbq_lite_json,episodic_memory,0
bbq_lite_json,prospective_memory,0
bbq_lite_json,reasoning,0
bbq_lite_json,recognition_of_social_cues,0
bbq_lite_json,social_judgment,0
bbq_lite_json,theory_of_mind,0
causal_judgment,cognitive_flexibility,0
causal_judgment,divided_attention,0
causal_judgment,problem_solving,0
causal_judgment,reasoning,0
causal_judgment,theory_of_mind,0
cause_and_effect,attention_shifting,0
cause_and_effect,cognitive_flexibility,0
cause_and_effect,comprehension,0
cause_and_effect,echoic_memory,0
cause_and_effect,mental_flexibility,0
cause_and_effect,problem_solving,0
cause_and_effect,reasoning,0
checkmate_in_one,attention_shifting,0
checkmate_in_one,cognitive_flexibility,0
checkmate_in_one,mental_flexibility,0
checkmate_in_one,problem_solving,0
checkmate_in_one,reasoning,0
checkmate_in_one,spatial_memory,0
checkmate_in_one,strategic_thinking,0
checkmate_in_one,working_memory,0
cifar10_classification,attention_shifting,0
cifar10_classification,divided_attention,0
cifar10_classification,iconic_memory,0
cifar10_classification,linguistic_analysis,0
cifar10_classification,problem_solving,0
cifar10_classification,procedural_memory,0
cifar10_classification,processing_speed,0
cifar10_classification,recognition_of_social_cues,0
cifar10_classification,visual_processing_speed,0
cifar10_classification,working_memory,0
code_line_description,comprehension,0
code_line_description,problem_solving,0
code_line_description,reasoning,0
color,attention_shifting,0
color,linguistic_analysis,0
color,problem_solving,0
color,reasoning,0
color,recognition_of_social_cues,0
color,visual_processing_speed,0
common_morpheme,linguistic_analysis,0
conceptual_combinations,attention_shifting,0
conceptual_combinations,comprehension,0
conceptual_combinations,reasoning,0
conceptual_combinations,semantic_memory,0
cryobiology_spanish,attention_shifting,0
cryobiology_spanish,comprehension,0
cryobiology_spanish,linguistic_analysis,0
cryobiology_spanish,problem_solving,0
cryobiology_spanish,reading,0
cryobiology_spanish,reasoning,0
cryobiology_spanish,selective_attention,0
cryobiology_spanish,semantic_memory,0
cryobiology_spanish,working_memory,0
cs_algorithms,attention_shifting,0
cs_algorithms,cognitive_flexibility,0
cs_algorithms,problem_solving,0
cs_algorithms,processing_speed,0
cs_algorithms,reasoning,0
cs_algorithms,working_memory,0
dark_humor_detection,emotional_regulation,0
dark_humor_detection,fluency,0
dark_humor_detection,reasoning,0
dark_humor_detection,theory_of_mind,0
date_understanding,attention_shifting,0
date_understanding,processing_speed,0
date_understanding,reasoning,0
date_understanding,time_management,0
date_understanding,working_memory,0
disambiguation_qa,attention_shifting,0
disambiguation_qa,discourse_ability,0
disambiguation_qa,linguistic_analysis,0
disambiguation_qa,reasoning,0
disambiguation_qa,theory_of_mind,0
disambiguation_qa,working_memory,0
discourse_marker_prediction,attention_shifting,0
discourse_marker_prediction,cognitive_flexibility,0
discourse_marker_prediction,comprehension,0
discourse_marker_prediction,expressive_language,0
discourse_marker_prediction,fluency,0
discourse_marker_prediction,linguistic_analysis,0
discourse_marker_prediction,reasoning,0
discourse_marker_prediction,working_memory,0
