Id,type,size,[z],Label
3_attn.q,modules,2,1,
3_attn.k,modules,2,1,
3_attn.v,modules,2,1,
3_attn.o,modules,2,1,
3_gate,modules,2,1,
3_mlp.up,modules,2,1,
3_mlp.down,modules,2,1,
4_attn.q,modules,2,1,
4_attn.k,modules,2,1,
4_attn.v,modules,2,1,
4_attn.o,modules,2,1,
4_gate,modules,2,1,
4_mlp.up,modules,2,1,
4_mlp.down,modules,2,1,
5_attn.q,modules,2,1,
5_attn.k,modules,2,1,
5_attn.v,modules,2,1,
5_attn.o,modules,2,1,
5_gate,modules,2,1,
5_mlp.up,modules,2,1,
5_mlp.down,modules,2,1,
6_attn.q,modules,2,1,
6_attn.k,modules,2,1,
6_attn.v,modules,2,1,
6_attn.o,modules,2,1,
6_gate,modules,2,1,
6_mlp.up,modules,2,1,
6_mlp.down,modules,2,1,
7_attn.q,modules,2,1,
7_attn.k,modules,2,1,
7_attn.v,modules,2,1,
7_attn.o,modules,2,1,
7_gate,modules,2,1,
7_mlp.up,modules,2,1,
7_mlp.down,modules,2,1,
8_attn.q,modules,2,1,
8_attn.k,modules,2,1,
8_attn.v,modules,2,1,
8_attn.o,modules,2,1,
8_gate,modules,2,1,
8_mlp.up,modules,2,1,
8_mlp.down,modules,2,1,
9_attn.q,modules,2,1,
9_attn.k,modules,2,1,
9_attn.v,modules,2,1,
9_attn.o,modules,2,1,
9_gate,modules,2,1,
9_mlp.up,modules,2,1,
9_mlp.down,modules,2,1,
10_attn.q,modules,2,1,
10_attn.k,modules,2,1,
10_attn.v,modules,2,1,
10_attn.o,modules,2,1,
10_gate,modules,2,1,
10_mlp.up,modules,2,1,
10_mlp.down,modules,2,1,
11_attn.q,modules,2,1,
11_attn.k,modules,2,1,
11_attn.v,modules,2,1,
11_attn.o,modules,2,1,
11_gate,modules,2,1,
11_mlp.up,modules,2,1,
11_mlp.down,modules,2,1,
12_attn.q,modules,2,1,
12_attn.k,modules,2,1,
12_attn.v,modules,2,1,
12_attn.o,modules,2,1,
12_gate,modules,2,1,
12_mlp.up,modules,2,1,
12_mlp.down,modules,2,1,
13_attn.q,modules,2,1,
13_attn.k,modules,2,1,
13_attn.v,modules,2,1,
13_attn.o,modules,2,1,
13_gate,modules,2,1,
13_mlp.up,modules,2,1,
13_mlp.down,modules,2,1,
14_attn.q,modules,2,1,
14_attn.k,modules,2,1,
14_attn.v,modules,2,1,
14_attn.o,modules,2,1,
14_gate,modules,2,1,
14_mlp.up,modules,2,1,
14_mlp.down,modules,2,1,
15_attn.q,modules,2,1,
15_attn.k,modules,2,1,
15_attn.v,modules,2,1,
15_attn.o,modules,2,1,
15_gate,modules,2,1,
15_mlp.up,modules,2,1,
15_mlp.down,modules,2,1,
16_attn.q,modules,2,1,
16_attn.k,modules,2,1,
16_attn.v,modules,2,1,
16_attn.o,modules,2,1,
16_gate,modules,2,1,
16_mlp.up,modules,2,1,
16_mlp.down,modules,2,1,
17_attn.q,modules,2,1,
17_attn.k,modules,2,1,
17_attn.v,modules,2,1,
17_attn.o,modules,2,1,
17_gate,modules,2,1,
17_mlp.up,modules,2,1,
17_mlp.down,modules,2,1,
18_attn.q,modules,2,1,
18_attn.k,modules,2,1,
18_attn.v,modules,2,1,
18_attn.o,modules,2,1,
18_gate,modules,2,1,
18_mlp.up,modules,2,1,
18_mlp.down,modules,2,1,
19_attn.q,modules,2,1,
19_attn.k,modules,2,1,
19_attn.v,modules,2,1,
19_attn.o,modules,2,1,
19_gate,modules,2,1,
19_mlp.up,modules,2,1,
19_mlp.down,modules,2,1,
20_attn.q,modules,2,1,
20_attn.k,modules,2,1,
20_attn.v,modules,2,1,
20_attn.o,modules,2,1,
20_gate,modules,2,1,
20_mlp.up,modules,2,1,
20_mlp.down,modules,2,1,
21_attn.q,modules,2,1,
21_attn.k,modules,2,1,
21_attn.v,modules,2,1,
21_attn.o,modules,2,1,
21_gate,modules,2,1,
21_mlp.up,modules,2,1,
21_mlp.down,modules,2,1,
22_attn.q,modules,2,1,
22_attn.k,modules,2,1,
22_attn.v,modules,2,1,
22_attn.o,modules,2,1,
22_gate,modules,2,1,
22_mlp.up,modules,2,1,
22_mlp.down,modules,2,1,
23_attn.q,modules,2,1,
23_attn.k,modules,2,1,
23_attn.v,modules,2,1,
23_attn.o,modules,2,1,
23_gate,modules,2,1,
23_mlp.up,modules,2,1,
23_mlp.down,modules,2,1,
24_attn.q,modules,2,1,
24_attn.k,modules,2,1,
24_attn.v,modules,2,1,
24_attn.o,modules,2,1,
24_gate,modules,2,1,
24_mlp.up,modules,2,1,
24_mlp.down,modules,2,1,
25_attn.q,modules,2,1,
25_attn.k,modules,2,1,
25_attn.v,modules,2,1,
25_attn.o,modules,2,1,
25_gate,modules,2,1,
25_mlp.up,modules,2,1,
25_mlp.down,modules,2,1,
26_attn.q,modules,2,1,
26_attn.k,modules,2,1,
26_attn.v,modules,2,1,
26_attn.o,modules,2,1,
26_gate,modules,2,1,
26_mlp.up,modules,2,1,
26_mlp.down,modules,2,1,
27_attn.q,modules,2,1,
27_attn.k,modules,2,1,
27_attn.v,modules,2,1,
27_attn.o,modules,2,1,
27_gate,modules,2,1,
27_mlp.up,modules,2,1,
27_mlp.down,modules,2,1,
28_attn.q,modules,2,1,
28_attn.k,modules,2,1,
28_attn.v,modules,2,1,
28_attn.o,modules,2,1,
28_gate,modules,2,1,
28_mlp.up,modules,2,1,
28_mlp.down,modules,2,1,
29_attn.q,modules,2,1,
29_attn.k,modules,2,1,
29_attn.v,modules,2,1,
29_attn.o,modules,2,1,
29_gate,modules,2,1,
29_mlp.up,modules,2,1,
29_mlp.down,modules,2,1,
30_attn.q,modules,2,1,
30_attn.k,modules,2,1,
30_attn.v,modules,2,1,
30_attn.o,modules,2,1,
30_gate,modules,2,1,
30_mlp.up,modules,2,1,
30_mlp.down,modules,2,1,
