Id,size,community
abstract_thinking,4,0
adaptability,4,0
attention_shifting,4,1
cognitive_flexibility,4,2
comprehension,4,3
creativity,4,4
discourse_ability,4,5
echoic_memory,4,6
empathy,4,1
episodic_memory,4,0
expressive_language,4,7
fluency,4,5
goal_setting,4,2
iconic_memory,4,2
intercultural_competence,4,0
mental_flexibility,4,1
naming,4,5
narrative_skills,4,5
planning,4,7
problem_solving,4,5
procedural_memory,4,0
processing_speed,4,0
prospective_memory,4,6
reading,4,3
reasoning,4,6
receptive_language,4,7
recognition_of_social_cues,4,2
relationship_management,4,2
repetition,4,7
selective_attention,4,3
self_awareness,4,0
semantic_memory,4,4
social_judgment,4,0
strategic_thinking,4,5
sustained_attention,4,2
theory_of_mind,4,3
time_management,4,3
vigilance_attention,4,7
working_memory,4,1
conflict_resolution,4,4
spatial_memory,4,1
auditory_processing_speed,4,5
decision_making,4,4
divided_attention,4,4
emotional_regulation,4,6
impulse_control,4,4
linguistic_analysis,4,2
organization,4,2
pragmatics,4,4
visual_processing_speed,4,1
risk_assessment,4,2
writing,4,6
