Id,type,size,[z],Label
3_attn.q,modules,2,1,3_attn.q
3_attn.k,modules,2,1,3_attn.k
3_attn.v,modules,2,1,3_attn.v
3_attn.o,modules,2,1,3_attn.o
3_gate,modules,2,1,3_gate
3_mlp.up,modules,2,1,3_mlp.up
3_mlp.down,modules,2,1,3_mlp.down
4_attn.q,modules,2,1,4_attn.q
4_attn.k,modules,2,1,4_attn.k
4_attn.v,modules,2,1,4_attn.v
4_attn.o,modules,2,1,4_attn.o
4_gate,modules,2,1,4_gate
4_mlp.up,modules,2,1,4_mlp.up
4_mlp.down,modules,2,1,4_mlp.down
5_attn.q,modules,2,1,5_attn.q
5_attn.k,modules,2,1,5_attn.k
5_attn.v,modules,2,1,5_attn.v
5_attn.o,modules,2,1,5_attn.o
5_gate,modules,2,1,5_gate
5_mlp.up,modules,2,1,5_mlp.up
5_mlp.down,modules,2,1,5_mlp.down
6_attn.q,modules,2,1,6_attn.q
6_attn.k,modules,2,1,6_attn.k
6_attn.v,modules,2,1,6_attn.v
6_attn.o,modules,2,1,6_attn.o
6_gate,modules,2,1,6_gate
6_mlp.up,modules,2,1,6_mlp.up
6_mlp.down,modules,2,1,6_mlp.down
7_attn.q,modules,2,1,7_attn.q
7_attn.k,modules,2,1,7_attn.k
7_attn.v,modules,2,1,7_attn.v
7_attn.o,modules,2,1,7_attn.o
7_gate,modules,2,1,7_gate
7_mlp.up,modules,2,1,7_mlp.up
7_mlp.down,modules,2,1,7_mlp.down
8_attn.q,modules,2,1,8_attn.q
8_attn.k,modules,2,1,8_attn.k
8_attn.v,modules,2,1,8_attn.v
8_attn.o,modules,2,1,8_attn.o
8_gate,modules,2,1,8_gate
8_mlp.up,modules,2,1,8_mlp.up
8_mlp.down,modules,2,1,8_mlp.down
9_attn.q,modules,2,1,9_attn.q
9_attn.k,modules,2,1,9_attn.k
9_attn.v,modules,2,1,9_attn.v
9_attn.o,modules,2,1,9_attn.o
9_gate,modules,2,1,9_gate
9_mlp.up,modules,2,1,9_mlp.up
9_mlp.down,modules,2,1,9_mlp.down
10_attn.q,modules,2,1,10_attn.q
10_attn.k,modules,2,1,10_attn.k
10_attn.v,modules,2,1,10_attn.v
10_attn.o,modules,2,1,10_attn.o
10_gate,modules,2,1,10_gate
10_mlp.up,modules,2,1,10_mlp.up
10_mlp.down,modules,2,1,10_mlp.down
11_attn.q,modules,2,1,11_attn.q
11_attn.k,modules,2,1,11_attn.k
11_attn.v,modules,2,1,11_attn.v
11_attn.o,modules,2,1,11_attn.o
11_gate,modules,2,1,11_gate
11_mlp.up,modules,2,1,11_mlp.up
11_mlp.down,modules,2,1,11_mlp.down
12_attn.q,modules,2,1,12_attn.q
12_attn.k,modules,2,1,12_attn.k
12_attn.v,modules,2,1,12_attn.v
12_attn.o,modules,2,1,12_attn.o
12_gate,modules,2,1,12_gate
12_mlp.up,modules,2,1,12_mlp.up
12_mlp.down,modules,2,1,12_mlp.down
13_attn.q,modules,2,1,13_attn.q
13_attn.k,modules,2,1,13_attn.k
13_attn.v,modules,2,1,13_attn.v
13_attn.o,modules,2,1,13_attn.o
13_gate,modules,2,1,13_gate
13_mlp.up,modules,2,1,13_mlp.up
13_mlp.down,modules,2,1,13_mlp.down
14_attn.q,modules,2,1,14_attn.q
14_attn.k,modules,2,1,14_attn.k
14_attn.v,modules,2,1,14_attn.v
14_attn.o,modules,2,1,14_attn.o
14_gate,modules,2,1,14_gate
14_mlp.up,modules,2,1,14_mlp.up
14_mlp.down,modules,2,1,14_mlp.down
