Source,Target,Edge_Type
abstract_thinking,6_attn.q,1
abstract_thinking,7_attn.k,1
abstract_thinking,15_attn.v,1
abstract_thinking,16_attn.v,1
abstract_thinking,18_attn.k,1
abstract_thinking,23_attn.k,1
abstract_thinking,27_attn.q,1
abstract_thinking,27_attn.v,1
abstract_thinking,27_attn.o,1
abstract_thinking,29_attn.q,1
abstract_thinking,29_attn.k,1
abstract_thinking,30_attn.o,1
adaptability,3_attn.k,1
adaptability,3_attn.v,1
adaptability,3_attn.o,1
adaptability,6_attn.q,1
adaptability,8_attn.v,1
adaptability,13_attn.o,1
adaptability,14_attn.q,1
adaptability,22_attn.v,1
adaptability,28_attn.k,1
adaptability,29_attn.v,1
adaptability,30_attn.v,1
attention_shifting,3_attn.q,1
attention_shifting,4_attn.q,1
attention_shifting,4_attn.v,1
attention_shifting,5_attn.q,1
attention_shifting,6_attn.o,1
attention_shifting,8_attn.q,1
attention_shifting,8_attn.v,1
attention_shifting,11_attn.q,1
attention_shifting,12_attn.o,1
attention_shifting,13_attn.q,1
attention_shifting,13_attn.o,1
attention_shifting,14_attn.k,1
attention_shifting,16_attn.o,1
attention_shifting,18_attn.k,1
attention_shifting,19_attn.o,1
attention_shifting,21_attn.k,1
attention_shifting,23_attn.k,1
attention_shifting,25_attn.v,1
attention_shifting,26_attn.k,1
attention_shifting,27_attn.o,1
attention_shifting,28_attn.o,1
attention_shifting,29_attn.k,1
attention_shifting,30_attn.v,1
auditory_processing_speed,8_attn.q,1
auditory_processing_speed,8_attn.k,1
auditory_processing_speed,9_attn.q,1
auditory_processing_speed,9_attn.k,1
auditory_processing_speed,15_attn.v,1
auditory_processing_speed,18_attn.o,1
auditory_processing_speed,23_attn.q,1
auditory_processing_speed,26_attn.v,1
auditory_processing_speed,26_attn.o,1
auditory_processing_speed,28_attn.o,1
cognitive_flexibility,3_attn.k,1
cognitive_flexibility,5_attn.q,1
cognitive_flexibility,15_attn.q,1
cognitive_flexibility,15_attn.v,1
cognitive_flexibility,15_attn.o,1
cognitive_flexibility,18_attn.v,1
cognitive_flexibility,19_attn.k,1
cognitive_flexibility,21_attn.q,1
cognitive_flexibility,23_attn.v,1
cognitive_flexibility,25_attn.v,1
cognitive_flexibility,27_attn.q,1
cognitive_flexibility,28_attn.q,1
cognitive_flexibility,28_attn.o,1
cognitive_flexibility,29_attn.q,1
cognitive_flexibility,30_attn.q,1
cognitive_flexibility,30_attn.v,1
comprehension,5_attn.k,1
comprehension,9_attn.v,1
comprehension,11_attn.v,1
comprehension,18_attn.o,1
comprehension,19_attn.q,1
comprehension,20_attn.k,1
comprehension,24_attn.v,1
comprehension,25_attn.v,1
comprehension,26_attn.q,1
comprehension,28_attn.q,1
conflict_resolution,5_attn.q,1
conflict_resolution,8_attn.k,1
conflict_resolution,10_attn.o,1
conflict_resolution,13_attn.v,1
conflict_resolution,18_attn.v,1
conflict_resolution,22_attn.q,1
conflict_resolution,22_attn.v,1
conflict_resolution,28_attn.k,1
creativity,3_attn.v,1
creativity,4_attn.o,1
creativity,8_attn.o,1
creativity,12_attn.q,1
creativity,16_attn.q,1
creativity,17_attn.o,1
creativity,28_attn.v,1
creativity,30_attn.v,1
decision_making,4_attn.q,1
decision_making,6_attn.q,1
decision_making,7_attn.o,1
decision_making,13_attn.k,1
decision_making,14_attn.o,1
decision_making,16_attn.q,1
decision_making,16_attn.v,1
decision_making,21_attn.o,1
decision_making,23_attn.k,1
decision_making,24_attn.o,1
decision_making,25_attn.k,1
decision_making,30_attn.k,1
discourse_ability,3_attn.q,1
discourse_ability,5_attn.v,1
discourse_ability,6_attn.o,1
discourse_ability,9_attn.k,1
discourse_ability,10_attn.v,1
discourse_ability,15_attn.o,1
discourse_ability,16_attn.o,1
discourse_ability,23_attn.q,1
discourse_ability,26_attn.o,1
discourse_ability,29_attn.v,1
discourse_ability,30_attn.q,1
divided_attention,14_attn.k,1
divided_attention,14_attn.o,1
divided_attention,20_attn.k,1
divided_attention,23_attn.o,1
divided_attention,26_attn.o,1
divided_attention,28_attn.o,1
divided_attention,30_attn.o,1
echoic_memory,7_attn.q,1
echoic_memory,8_attn.q,1
echoic_memory,21_attn.q,1
echoic_memory,24_attn.v,1
emotional_regulation,6_attn.q,1
emotional_regulation,12_attn.v,1
emotional_regulation,17_attn.o,1
emotional_regulation,20_attn.k,1
emotional_regulation,26_attn.k,1
emotional_regulation,29_attn.k,1
emotional_regulation,30_attn.v,1
empathy,7_attn.o,1
empathy,11_attn.q,1
empathy,12_attn.o,1
empathy,17_attn.q,1
empathy,18_attn.k,1
empathy,18_attn.v,1
empathy,18_attn.o,1
empathy,19_attn.q,1
empathy,22_attn.k,1
empathy,28_attn.v,1
episodic_memory,4_attn.k,1
episodic_memory,5_attn.o,1
episodic_memory,11_attn.q,1
episodic_memory,15_attn.v,1
episodic_memory,19_attn.k,1
episodic_memory,20_attn.v,1
episodic_memory,22_attn.q,1
episodic_memory,24_attn.k,1
episodic_memory,27_attn.q,1
episodic_memory,29_attn.v,1
episodic_memory,30_attn.v,1
expressive_language,6_attn.v,1
expressive_language,8_attn.v,1
expressive_language,10_attn.v,1
expressive_language,10_attn.o,1
expressive_language,13_attn.q,1
expressive_language,18_attn.o,1
expressive_language,21_attn.o,1
expressive_language,24_attn.q,1
expressive_language,25_attn.q,1
expressive_language,27_attn.k,1
expressive_language,29_attn.q,1
expressive_language,29_attn.v,1
fluency,5_attn.q,1
fluency,6_attn.k,1
fluency,8_attn.q,1
fluency,11_attn.v,1
fluency,12_attn.v,1
goal_setting,8_attn.o,1
goal_setting,9_attn.o,1
goal_setting,10_attn.q,1
goal_setting,10_attn.v,1
goal_setting,11_attn.v,1
goal_setting,13_attn.k,1
goal_setting,15_attn.o,1
goal_setting,18_attn.q,1
goal_setting,20_attn.k,1
goal_setting,20_attn.v,1
goal_setting,21_attn.v,1
goal_setting,23_attn.q,1
goal_setting,24_attn.q,1
goal_setting,26_attn.k,1
goal_setting,27_attn.k,1
goal_setting,29_attn.v,1
goal_setting,29_attn.o,1
iconic_memory,3_attn.q,1
iconic_memory,3_attn.v,1
iconic_memory,6_attn.v,1
iconic_memory,7_attn.q,1
iconic_memory,8_attn.q,1
iconic_memory,10_attn.k,1
iconic_memory,11_attn.v,1
iconic_memory,18_attn.v,1
iconic_memory,26_attn.o,1
iconic_memory,30_attn.o,1
impulse_control,3_attn.q,1
impulse_control,6_attn.q,1
impulse_control,12_attn.q,1
impulse_control,19_attn.o,1
impulse_control,21_attn.v,1
impulse_control,28_attn.q,1
intercultural_competence,3_attn.q,1
intercultural_competence,7_attn.o,1
intercultural_competence,8_attn.q,1
intercultural_competence,8_attn.k,1
intercultural_competence,14_attn.q,1
intercultural_competence,15_attn.q,1
intercultural_competence,22_attn.v,1
intercultural_competence,22_attn.o,1
intercultural_competence,24_attn.o,1
intercultural_competence,28_attn.o,1
linguistic_analysis,3_attn.q,1
linguistic_analysis,3_attn.o,1
linguistic_analysis,4_attn.k,1
linguistic_analysis,8_attn.q,1
linguistic_analysis,11_attn.q,1
linguistic_analysis,14_attn.v,1
linguistic_analysis,20_attn.o,1
linguistic_analysis,23_attn.o,1
linguistic_analysis,25_attn.v,1
linguistic_analysis,25_attn.o,1
linguistic_analysis,27_attn.o,1
mental_flexibility,6_attn.o,1
mental_flexibility,15_attn.k,1
mental_flexibility,18_attn.q,1
mental_flexibility,19_attn.q,1
mental_flexibility,20_attn.k,1
mental_flexibility,21_attn.v,1
mental_flexibility,22_attn.o,1
mental_flexibility,24_attn.o,1
mental_flexibility,27_attn.o,1
mental_flexibility,30_attn.q,1
mental_flexibility,30_attn.v,1
naming,7_attn.o,1
naming,10_attn.k,1
naming,11_attn.k,1
naming,16_attn.v,1
naming,17_attn.q,1
naming,19_attn.q,1
naming,21_attn.o,1
naming,24_attn.o,1
naming,25_attn.k,1
naming,27_attn.q,1
naming,28_attn.q,1
naming,29_attn.q,1
narrative_skills,5_attn.q,1
narrative_skills,7_attn.o,1
narrative_skills,17_attn.q,1
narrative_skills,22_attn.v,1
narrative_skills,25_attn.q,1
narrative_skills,27_attn.v,1
narrative_skills,28_attn.q,1
narrative_skills,30_attn.k,1
organization,12_attn.q,1
organization,14_attn.k,1
organization,17_attn.q,1
organization,17_attn.v,1
organization,20_attn.k,1
organization,21_attn.o,1
organization,24_attn.o,1
organization,26_attn.o,1
organization,27_attn.v,1
organization,29_attn.v,1
planning,3_attn.q,1
planning,8_attn.q,1
planning,14_attn.k,1
planning,14_attn.o,1
planning,18_attn.k,1
planning,19_attn.v,1
planning,22_attn.o,1
planning,25_attn.k,1
planning,25_attn.v,1
planning,30_attn.v,1
planning,30_attn.o,1
pragmatics,10_attn.v,1
pragmatics,18_attn.q,1
pragmatics,19_attn.q,1
pragmatics,22_attn.o,1
problem_solving,4_attn.k,1
problem_solving,7_attn.k,1
problem_solving,8_attn.v,1
problem_solving,10_attn.k,1
problem_solving,10_attn.o,1
problem_solving,11_attn.k,1
problem_solving,14_attn.o,1
problem_solving,15_attn.v,1
problem_solving,15_attn.o,1
problem_solving,16_attn.o,1
problem_solving,17_attn.k,1
problem_solving,19_attn.q,1
problem_solving,19_attn.v,1
problem_solving,20_attn.q,1
problem_solving,22_attn.v,1
problem_solving,24_attn.k,1
problem_solving,25_attn.q,1
problem_solving,25_attn.k,1
problem_solving,27_attn.k,1
problem_solving,29_attn.k,1
problem_solving,30_attn.q,1
problem_solving,30_attn.v,1
procedural_memory,7_attn.k,1
procedural_memory,8_attn.q,1
procedural_memory,9_attn.k,1
procedural_memory,10_attn.v,1
procedural_memory,19_attn.k,1
procedural_memory,20_attn.q,1
procedural_memory,24_attn.q,1
procedural_memory,26_attn.q,1
processing_speed,4_attn.v,1
processing_speed,16_attn.o,1
processing_speed,17_attn.v,1
processing_speed,20_attn.q,1
processing_speed,20_attn.k,1
processing_speed,22_attn.o,1
processing_speed,25_attn.o,1
processing_speed,26_attn.q,1
processing_speed,26_attn.k,1
processing_speed,27_attn.k,1
processing_speed,30_attn.q,1
processing_speed,30_attn.v,1
prospective_memory,4_attn.q,1
prospective_memory,4_attn.o,1
prospective_memory,6_attn.k,1
prospective_memory,6_attn.v,1
prospective_memory,7_attn.o,1
prospective_memory,13_attn.o,1
prospective_memory,17_attn.q,1
prospective_memory,24_attn.q,1
prospective_memory,24_attn.v,1
prospective_memory,25_attn.k,1
prospective_memory,29_attn.v,1
reading,5_attn.q,1
reading,7_attn.q,1
reading,16_attn.q,1
reading,19_attn.k,1
reading,22_attn.o,1
reading,23_attn.v,1
reading,26_attn.v,1
reading,27_attn.v,1
reading,30_attn.q,1
reading,30_attn.k,1
reasoning,3_attn.q,1
reasoning,4_attn.q,1
reasoning,4_attn.v,1
reasoning,5_attn.k,1
reasoning,5_attn.v,1
reasoning,5_attn.o,1
reasoning,8_attn.k,1
reasoning,9_attn.q,1
reasoning,9_attn.o,1
reasoning,11_attn.v,1
reasoning,11_attn.o,1
reasoning,12_attn.k,1
reasoning,12_attn.o,1
reasoning,13_attn.v,1
reasoning,15_attn.q,1
reasoning,15_attn.o,1
reasoning,16_attn.o,1
reasoning,17_attn.o,1
reasoning,18_attn.v,1
reasoning,19_attn.q,1
reasoning,19_attn.k,1
reasoning,19_attn.o,1
reasoning,21_attn.q,1
reasoning,22_attn.v,1
reasoning,23_attn.q,1
reasoning,24_attn.v,1
reasoning,25_attn.q,1
reasoning,26_attn.v,1
reasoning,26_attn.o,1
reasoning,27_attn.q,1
reasoning,27_attn.v,1
reasoning,29_attn.v,1
reasoning,30_attn.q,1
receptive_language,8_attn.o,1
receptive_language,9_attn.o,1
receptive_language,12_attn.o,1
receptive_language,14_attn.o,1
receptive_language,20_attn.v,1
receptive_language,22_attn.v,1
receptive_language,26_attn.v,1
receptive_language,28_attn.q,1
recognition_of_social_cues,7_attn.k,1
recognition_of_social_cues,7_attn.o,1
recognition_of_social_cues,9_attn.v,1
recognition_of_social_cues,11_attn.q,1
recognition_of_social_cues,12_attn.o,1
recognition_of_social_cues,13_attn.v,1
recognition_of_social_cues,13_attn.o,1
recognition_of_social_cues,14_attn.o,1
recognition_of_social_cues,17_attn.k,1
recognition_of_social_cues,22_attn.k,1
recognition_of_social_cues,26_attn.o,1
recognition_of_social_cues,27_attn.q,1
recognition_of_social_cues,29_attn.q,1
relationship_management,5_attn.k,1
relationship_management,7_attn.q,1
relationship_management,19_attn.q,1
relationship_management,20_attn.q,1
relationship_management,25_attn.q,1
relationship_management,25_attn.o,1
relationship_management,26_attn.k,1
repetition,5_attn.k,1
repetition,6_attn.v,1
repetition,7_attn.o,1
repetition,9_attn.k,1
repetition,13_attn.v,1
repetition,22_attn.k,1
repetition,23_attn.k,1
repetition,26_attn.q,1
repetition,28_attn.k,1
risk_assessment,13_attn.q,1
risk_assessment,27_attn.k,1
risk_assessment,29_attn.o,1
selective_attention,3_attn.k,1
selective_attention,4_attn.v,1
selective_attention,6_attn.k,1
selective_attention,6_attn.v,1
selective_attention,9_attn.v,1
selective_attention,12_attn.q,1
