node,community,layer
0_attn.q,-100,0
0_attn.k,-100,0
0_attn.v,-100,0
0_attn.o,-100,0
0_gate,-100,0
0_mlp.up,-100,0
0_mlp.down,-100,0
1_attn.q,-100,1
1_attn.k,-100,1
1_attn.v,-100,1
1_attn.o,-100,1
1_gate,-100,1
1_mlp.up,-100,1
1_mlp.down,-100,1
2_attn.q,-100,2
2_attn.k,-100,2
2_attn.v,-100,2
2_attn.o,-100,2
2_gate,-100,2
2_mlp.up,-100,2
2_mlp.down,-100,2
3_attn.q,0,3
3_attn.k,2,3
3_attn.v,2,3
3_attn.o,2,3
3_gate,-100,3
3_mlp.up,-100,3
3_mlp.down,-100,3
4_attn.q,4,4
4_attn.k,3,4
4_attn.v,2,4
4_attn.o,3,4
4_gate,-100,4
4_mlp.up,-100,4
4_mlp.down,-100,4
5_attn.q,3,5
5_attn.k,0,5
5_attn.v,0,5
5_attn.o,4,5
5_gate,-100,5
5_mlp.up,-100,5
5_mlp.down,-100,5
6_attn.q,4,6
6_attn.k,3,6
6_attn.v,0,6
6_attn.o,3,6
6_gate,-100,6
6_mlp.up,-100,6
6_mlp.down,-100,6
7_attn.q,2,7
7_attn.k,0,7
7_attn.v,4,7
7_attn.o,0,7
7_gate,-100,7
7_mlp.up,-100,7
7_mlp.down,-100,7
8_attn.q,4,8
8_attn.k,3,8
8_attn.v,4,8
8_attn.o,0,8
8_gate,-100,8
8_mlp.up,-100,8
8_mlp.down,-100,8
9_attn.q,4,9
9_attn.k,2,9
9_attn.v,4,9
9_attn.o,3,9
9_gate,-100,9
9_mlp.up,-100,9
9_mlp.down,-100,9
10_attn.q,0,10
10_attn.k,2,10
10_attn.v,2,10
10_attn.o,0,10
10_gate,-100,10
10_mlp.up,-100,10
10_mlp.down,-100,10
11_attn.q,4,11
11_attn.k,2,11
11_attn.v,3,11
11_attn.o,1,11
11_gate,-100,11
11_mlp.up,-100,11
11_mlp.down,-100,11
12_attn.q,4,12
12_attn.k,0,12
12_attn.v,0,12
12_attn.o,2,12
12_gate,-100,12
12_mlp.up,-100,12
12_mlp.down,-100,12
13_attn.q,4,13
13_attn.k,4,13
13_attn.v,2,13
13_attn.o,2,13
13_gate,-100,13
13_mlp.up,-100,13
13_mlp.down,-100,13
14_attn.q,0,14
14_attn.k,3,14
14_attn.v,4,14
14_attn.o,2,14
14_gate,-100,14
14_mlp.up,-100,14
14_mlp.down,-100,14
15_attn.q,4,15
15_attn.k,2,15
15_attn.v,3,15
15_attn.o,2,15
15_gate,-100,15
15_mlp.up,-100,15
15_mlp.down,-100,15
16_attn.q,3,16
16_attn.k,3,16
16_attn.v,3,16
16_attn.o,4,16
16_gate,-100,16
16_mlp.up,-100,16
16_mlp.down,-100,16
17_attn.q,3,17
17_attn.k,3,17
17_attn.v,3,17
17_attn.o,0,17
17_gate,-100,17
17_mlp.up,-100,17
17_mlp.down,-100,17
18_attn.q,3,18
18_attn.k,2,18
18_attn.v,2,18
18_attn.o,4,18
18_gate,-100,18
18_mlp.up,-100,18
18_mlp.down,-100,18
19_attn.q,4,19
19_attn.k,2,19
19_attn.v,3,19
19_attn.o,4,19
19_gate,-100,19
19_mlp.up,-100,19
19_mlp.down,-100,19
20_attn.q,2,20
20_attn.k,4,20
20_attn.v,4,20
20_attn.o,2,20
20_gate,-100,20
20_mlp.up,-100,20
20_mlp.down,-100,20
21_attn.q,0,21
21_attn.k,3,21
21_attn.v,2,21
21_attn.o,3,21
21_gate,-100,21
21_mlp.up,-100,21
21_mlp.down,-100,21
22_attn.q,2,22
22_attn.k,2,22
22_attn.v,2,22
22_attn.o,0,22
22_gate,-100,22
22_mlp.up,-100,22
22_mlp.down,-100,22
23_attn.q,4,23
23_attn.k,2,23
23_attn.v,3,23
23_attn.o,0,23
23_gate,-100,23
23_mlp.up,-100,23
23_mlp.down,-100,23
24_attn.q,4,24
24_attn.k,0,24
24_attn.v,0,24
24_attn.o,2,24
24_gate,-100,24
24_mlp.up,-100,24
24_mlp.down,-100,24
25_attn.q,0,25
25_attn.k,2,25
25_attn.v,0,25
25_attn.o,3,25
25_gate,-100,25
25_mlp.up,-100,25
25_mlp.down,-100,25
26_attn.q,2,26
26_attn.k,0,26
26_attn.v,2,26
26_attn.o,0,26
26_gate,-100,26
26_mlp.up,-100,26
26_mlp.down,-100,26
27_attn.q,2,27
27_attn.k,2,27
27_attn.v,0,27
27_attn.o,3,27
27_gate,-100,27
27_mlp.up,-100,27
27_mlp.down,-100,27
28_attn.q,2,28
28_attn.k,4,28
28_attn.v,4,28
28_attn.o,2,28
28_gate,-100,28
28_mlp.up,-100,28
28_mlp.down,-100,28
29_attn.q,3,29
29_attn.k,0,29
29_attn.v,3,29
29_attn.o,3,29
29_gate,-100,29
29_mlp.up,-100,29
29_mlp.down,-100,29
30_attn.q,0,30
30_attn.k,2,30
30_attn.v,1,30
30_attn.o,3,30
30_gate,-100,30
30_mlp.up,-100,30
30_mlp.down,-100,30
